Project,Link
Yahtzee,https://colab.research.google.com/drive/1u8250CZoDvTgZw8UXimfxpftEybSfnLw?usp=sharing
TextCompletion,https://colab.research.google.com/drive/1XNFVJIfK6ewYmMZd5Df7LGRb-Eqv8hE7?usp=sharing
